"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-a63b946a44c64987bc4e12f673aef799","AssignmentRelationship","","","id-32ee5681d2f941a4aef7ea586c03a179","id-9dc25f9fbd7d4869bc48f3e50aaced14",""
"id-4b7eb31c117e40d9a93ffab8a7bac80f","AssignmentRelationship","","","id-090939a4b54b4633b29c5c33387df661","id-dd1d1015a23144eb888f2e1774f543c4",""
"id-442c235ee95b4b3bb2ac3daa551d4b7c","AssignmentRelationship","","","id-32ee5681d2f941a4aef7ea586c03a179","id-d465973b884c43dfbb151b3451d5f9c1",""
"id-95530b9aedbe4876900f07f2fef88c24","AssignmentRelationship","","","id-a50d7ae050004d109ae19521cfb10072","id-ea198a58c3d446878c1fa6513d9e14ce",""
"id-a5fc40d85b45468b9acee3abe80d20e2","AssignmentRelationship","","","id-a50d7ae050004d109ae19521cfb10072","id-2a0fcdc1e09b45c88c1465ed8bfcf560",""
"id-ea1e251be0364634a2d0788207974a0b","AssignmentRelationship","","","id-32ee5681d2f941a4aef7ea586c03a179","id-8141d6512d2e4f1784e31d6e3e20f19d",""
"id-da35517ef1564ed497da071a959c83e0","AssignmentRelationship","","","id-a50d7ae050004d109ae19521cfb10072","id-dbf6ebab7c3247f4ae96bfe65b09c0d4",""
"id-7a4786d8747742e9b0707f96d96709c7","AssignmentRelationship","","","id-a50d7ae050004d109ae19521cfb10072","id-e3152ebd99454a4b87762e55bec34d06",""
"id-bef1b5a0f8d442a6bb237ec4e782ed01","AssignmentRelationship","","","id-6b5f013e57f849ffaeeafce33f601687","id-b70fb3c3707041c782459af3647dd4ba",""
"id-b97852de7d9a4f5b96598133138324d6","AssignmentRelationship","","","id-6b5f013e57f849ffaeeafce33f601687","id-37e83eed75924e8182db6384b570bedd",""
"id-bf5c7c9d12df429dac0a10f548ef2660","AssignmentRelationship","","","id-e22eca32f8f64a56aadbc1c7726cdda6","id-d744f1f5bacc446d9154d4e55df7bc8c",""
"id-246246f5d16544248b3f0e7ac55bc3fb","AssignmentRelationship","","","id-e22eca32f8f64a56aadbc1c7726cdda6","id-106a8a1545ba4ecf903736447971f950",""
"id-af9e7bcbc55a4a44b568d4275d2ce61e","AssignmentRelationship","","","id-12e1de691ad8498eba42ae0358c3df3c","id-2ee37f1b24854f878f752165ebb3da44",""
"id-28c749ecc30545d2a80eb0a795be2a74","AssignmentRelationship","","","id-b4f02ac7e6dd4bee9bc2d728fc6a1777","id-0240997eca344d748674f75f565529e0",""
"id-6bbf24796d104681bb11195c3ea97e77","AssignmentRelationship","","","id-5f186b6046304740ab9c6c9c8a420b61","id-f5f7cd4297fb4c33921578e66fc3de61",""
"id-1c0c1e5f3d914fce9156994be9907358","AssignmentRelationship","","","id-ca24ab7d57fd4a7d9ad5558461ca7dc5","id-da905cbba3874cd79f4b11fce5bf63e1",""
"id-c8f580107a134efd95639d5393dd5f49","AssignmentRelationship","","","id-20d821cde34d4cef80a1a76376e36692","id-323999f231f04d2b9f1b9c904b0be3eb",""
"id-7ae66742501e44a495ab650a5e24ed66","AssignmentRelationship","","","id-238469b09bbe40bb8aea16c872b6b7ec","id-99a5e8eb97da4ff8a6204d4720e2d52a",""
"id-084166840fc94c4c9989010efb395ae7","AssignmentRelationship","","","id-17f968056c124ea5989ec63203c9c176","id-990d303e147f4173ba803fd575ba2427",""
"id-f0bf2a69bff044869aa11aee20f5ceee","AssignmentRelationship","","","id-953fff64db7c4efa851a8b5f63adb669","id-1bf583f2aaaf464799a95ef68f267171",""
"id-0ffa53f8672a41c797703a725d89dd4d","AssignmentRelationship","","","id-86c7ffe57231490aaf209899caf7511b","id-fe7a96f328ac409696ef362090ce540b",""
"id-69bfce8ea6744ad2820c2c9242ff3dfa","AssignmentRelationship","","","id-858f89718b9c46e8ba272446312ae626","id-91e1da00dea8420b8815a2f50d566471",""
"id-d8c8ca626fad4acc9fce66cb28d9c2de","AssignmentRelationship","","","id-858f89718b9c46e8ba272446312ae626","id-c50953bd18dc4008a24c51031b13fb90",""
"id-aaf1fa7c50314e45986e13ee8b2787c0","AssignmentRelationship","","","id-858f89718b9c46e8ba272446312ae626","id-156458ba46f2420e8b21ef24efc31548",""
"id-5bda7c7b78d0487fb9175ced6be4fd2b","AssignmentRelationship","","","id-59233073cb5c41868bcba7ebc2bbbd3f","id-e0424d89bad94ae68f32be23c0375e0d",""
"id-af83d02879a345e698882e63da5eef4b","AssignmentRelationship","","","id-1fa753f7064147878ad30451f62336fd","id-0106fb6855a14122ae9712fd59dfcc35",""
"id-e064ba590f4a4129af04e2d8b0f6574c","AssignmentRelationship","","","id-f9b077ee34274356a42556f18b8064cf","id-bedadfce70ae4f5db6ee95a1f44d4855",""
"id-2ee770e3ae564f42af17add190ea315c","AssignmentRelationship","","","id-d67f1c0358844b4a9f178cdb31bb1eb3","id-e0ec873a27584f82aace811111178a63",""
"id-4ea182e39cd14f7c95feedefad294c79","CompositionRelationship","","","id-dbf6ebab7c3247f4ae96bfe65b09c0d4","id-f6433d288bec48f0967aea32da9d5cb8",""
"id-b11a91e780c74be998ef205f507ed7e9","CompositionRelationship","","","id-dbf6ebab7c3247f4ae96bfe65b09c0d4","id-3a3c47fa4908423a8bdac14bc21122dc",""
"id-360cd16ee0d5404994f6b6abd237ec7e","CompositionRelationship","","","id-dbf6ebab7c3247f4ae96bfe65b09c0d4","id-4adcfdd2c1fa4001b7d3f62e890df685",""
"id-2853db81cb8e4a4ebcbef09867ff5b18","CompositionRelationship","","","id-dbf6ebab7c3247f4ae96bfe65b09c0d4","id-be4e4864b9be48dfa36e618ddd43ac49",""
"id-c084052f5c954b67b2029346fbfa5709","CompositionRelationship","","","id-dbf6ebab7c3247f4ae96bfe65b09c0d4","id-e411da6112a745dd8a440fee9e028cd3",""
"id-bf9e295a0b6445b99b9b8c7aab333671","CompositionRelationship","","","id-dbf6ebab7c3247f4ae96bfe65b09c0d4","id-84d0230a7db84284b82c35fdb51a165a",""
"id-8c56005311954ecf8182594a2015175a","CompositionRelationship","","","id-f1bc2dc08ab343e890441663e71dd870","id-2961e1ea2ef341b3bf0f9d9a5f33aac7",""
"id-994b1189680d47d190296317af0f33c5","CompositionRelationship","","","id-f1bc2dc08ab343e890441663e71dd870","id-264ebabea01b4c43a39d0cc74c2078df",""
"id-51defb303a2f40ec8e0b16ac7be06991","CompositionRelationship","","","id-e3152ebd99454a4b87762e55bec34d06","id-324fc6a9375a4965baa0d8675ee45d23",""
"id-e268d1801f9e4941b484782918d5004b","CompositionRelationship","","","id-e3152ebd99454a4b87762e55bec34d06","id-df5dc10f7a6248fe8066ff37feaf93a4",""
"id-b398931ca8a74a4981786083f8534d39","CompositionRelationship","","","id-e3152ebd99454a4b87762e55bec34d06","id-6dafc7f42a1e4698aa3a459b5eb33307",""
"id-adc45df7f79345cca71c27d6d55e403d","CompositionRelationship","","","id-e3152ebd99454a4b87762e55bec34d06","id-a3f79ccc36224beea28b9abf389ba4cf",""
"id-ac6846cbc8f549aea521c840a9cac387","CompositionRelationship","","","id-e3152ebd99454a4b87762e55bec34d06","id-3b42c4d5dd784eb3808887e5d40253e9",""
"id-0fa3a28fb0c74cc69e23d612f26d0e36","CompositionRelationship","","","id-e3152ebd99454a4b87762e55bec34d06","id-d59802e4a25747869163040f06876753",""
"id-7b743efeb49f4f53930eb8c7974d5d06","CompositionRelationship","","","id-e3152ebd99454a4b87762e55bec34d06","id-e8f2048a2ada4b0fa9b29919c0354e04",""
